step,cb,random
684,0.921053,0.95614,0.22076
685,0.921168,0.956204,0.220438
686,0.921283,0.956268,0.220117
687,0.921397,0.956332,0.219796
688,0.921512,0.956395,0.22093
689,0.921626,0.956459,0.22061
690,0.921739,0.956522,0.22029
691,0.921852,0.956585,0.219971
692,0.921965,0.956647,0.219653
693,0.922078,0.95671,0.219336
694,0.92219,0.956772,0.220461
695,0.922302,0.956835,0.221583
696,0.922414,0.956897,0.221264
697,0.922525,0.956958,0.222382
698,0.922636,0.95702,0.222063
699,0.922747,0.957082,0.221745
700,0.922857,0.957143,0.221429
701,0.922967,0.957204,0.221113
702,0.921652,0.957265,0.222222
703,0.921764,0.957326,0.221906
704,0.921875,0.957386,0.221591
705,0.921986,0.957447,0.222695
706,0.922096,0.957507,0.22238
707,0.922207,0.957567,0.222065
708,0.922316,0.957627,0.221751
709,0.922426,0.957687,0.221439
710,0.922535,0.957746,0.221127
711,0.922644,0.957806,0.220816
712,0.922753,0.957865,0.220506
713,0.922861,0.957924,0.220196
714,0.922969,0.957983,0.219888
715,0.923077,0.958042,0.21958
716,0.923184,0.958101,0.219274
717,0.923291,0.958159,0.218968
718,0.923398,0.958217,0.218663
719,0.923505,0.958275,0.218359
720,0.923611,0.958333,0.218056
721,0.923717,0.958391,0.217753
722,0.923823,0.958449,0.217452
723,0.923928,0.958506,0.217151
724,0.924033,0.958564,0.216851
725,0.924138,0.958621,0.216552
726,0.924242,0.958678,0.217631
727,0.924347,0.958735,0.217331
728,0.924451,0.958791,0.217033
729,0.924554,0.958848,0.216735
730,0.924658,0.958904,0.216438
731,0.924761,0.95896,0.21751
732,0.924863,0.959016,0.217213
733,0.924966,0.959072,0.218281
734,0.925068,0.959128,0.217984
735,0.92517,0.957823,0.217687
736,0.925272,0.95788,0.217391
737,0.925373,0.957938,0.217096
738,0.925474,0.957995,0.216802
739,0.925575,0.958051,0.216509
740,0.925676,0.958108,0.216216
741,0.925776,0.958165,0.215924
742,0.925876,0.958221,0.216981
743,0.925976,0.958277,0.218035
744,0.926075,0.958333,0.217742
745,0.926174,0.958389,0.21745
746,0.926273,0.958445,0.217158
747,0.926372,0.958501,0.216867
748,0.926471,0.958556,0.216578
749,0.926569,0.958611,0.216288
750,0.926667,0.958667,0.216
751,0.926764,0.958722,0.215712
752,0.926862,0.958777,0.215426
753,0.926959,0.958831,0.215139
754,0.927056,0.958886,0.214854
755,0.927152,0.95894,0.21457
756,0.927249,0.958995,0.214286
757,0.927345,0.959049,0.214003
758,0.927441,0.959103,0.21372
759,0.927536,0.959157,0.213439
760,0.927632,0.959211,0.213158
761,0.927727,0.959264,0.214192
762,0.927822,0.959318,0.213911
763,0.927916,0.959371,0.21363
764,0.92801,0.959424,0.21466
765,0.928105,0.959477,0.214379
766,0.928198,0.95953,0.214099
767,0.928292,0.959583,0.215124
768,0.928385,0.959635,0.214844
769,0.928479,0.959688,0.214564
770,0.927273,0.95974,0.214286
771,0.927367,0.959792,0.214008
772,0.927461,0.959845,0.213731
773,0.927555,0.959897,0.213454
774,0.927649,0.959948,0.213178
775,0.927742,0.96,0.212903
776,0.927835,0.960052,0.212629
777,0.927928,0.960103,0.212355
778,0.928021,0.960154,0.213368
779,0.928113,0.960205,0.214377
780,0.928205,0.960256,0.214103
781,0.928297,0.960307,0.213828
782,0.928389,0.960358,0.214834
783,0.92848,0.960409,0.214559
784,0.928571,0.960459,0.214286
785,0.928662,0.96051,0.214013
786,0.928753,0.96056,0.215013
787,0.928844,0.96061,0.21601
788,0.928934,0.96066,0.215736
789,0.929024,0.959442,0.215463
790,0.929114,0.959494,0.21519
791,0.929204,0.959545,0.214918
792,0.929293,0.959596,0.214646
793,0.929382,0.959647,0.215637
794,0.929471,0.959698,0.215365
795,0.92956,0.959748,0.215094
796,0.929648,0.959799,0.214824
797,0.929737,0.959849,0.214555
798,0.929825,0.9599,0.214286
799,0.929912,0.95995,0.214018
800,0.93,0.96,0.215
801,0.930087,0.96005,0.214732
802,0.930175,0.9601,0.214464
803,0.930262,0.960149,0.215442
804,0.930348,0.958955,0.215174
805,0.930435,0.959006,0.214907
806,0.930521,0.959057,0.21464
807,0.930607,0.959108,0.214374
808,0.930693,0.959158,0.214109
809,0.930779,0.959209,0.213844
810,0.930864,0.959259,0.21358
811,0.930949,0.959309,0.21455
812,0.931034,0.95936,0.214286
813,0.931119,0.95941,0.214022
814,0.931204,0.959459,0.213759
815,0.931288,0.959509,0.213497
816,0.931373,0.959559,0.213235
817,0.931457,0.959608,0.212974
818,0.93154,0.959658,0.213936
819,0.931624,0.959707,0.213675
820,0.931707,0.959756,0.213415
821,0.93179,0.959805,0.213155
822,0.931873,0.959854,0.212895
823,0.931956,0.959903,0.213852
824,0.932039,0.959951,0.213592
825,0.932121,0.96,0.214545
826,0.932203,0.960048,0.214286
827,0.932285,0.960097,0.214027
828,0.932367,0.960145,0.213768
