step,cb,random
796,0.95603,0.263819
797,0.956085,0.264743
798,0.95614,0.264411
799,0.956195,0.265332
800,0.95625,0.265
801,0.956305,0.264669
802,0.956359,0.264339
803,0.956413,0.26401
804,0.956468,0.263682
805,0.956522,0.263354
806,0.956576,0.263027
807,0.956629,0.262701
808,0.956683,0.262376
809,0.956737,0.262052
810,0.95679,0.262963
811,0.956843,0.262639
812,0.956897,0.262315
813,0.95695,0.261993
814,0.957002,0.261671
815,0.957055,0.26135
816,0.957108,0.261029
817,0.95716,0.26071
818,0.957213,0.260391
819,0.957265,0.260073
820,0.957317,0.259756
821,0.957369,0.260658
822,0.957421,0.260341
823,0.957473,0.261239
824,0.957524,0.260922
825,0.957576,0.260606
826,0.957627,0.260291
827,0.957678,0.261185
828,0.957729,0.262077
829,0.95778,0.261761
830,0.957831,0.262651
831,0.957882,0.263538
832,0.957933,0.263221
833,0.957983,0.262905
834,0.958034,0.26259
835,0.958084,0.262275
836,0.958134,0.261962
837,0.958184,0.262843
838,0.958234,0.26253
839,0.958284,0.262217
840,0.958333,0.261905
841,0.958383,0.262782
842,0.958432,0.263658
843,0.958482,0.263345
844,0.958531,0.263033
845,0.95858,0.263905
846,0.958629,0.263593
847,0.958678,0.263282
848,0.958726,0.262972
849,0.958775,0.262662
850,0.958824,0.262353
851,0.958872,0.262045
852,0.95892,0.261737
853,0.958968,0.262603
854,0.959016,0.262295
855,0.959064,0.261988
856,0.959112,0.261682
857,0.95916,0.261377
858,0.959207,0.261072
859,0.959255,0.261932
860,0.959302,0.261628
861,0.95935,0.261324
862,0.959397,0.262181
863,0.959444,0.261877
864,0.959491,0.261574
865,0.958382,0.262428
866,0.95843,0.262125
867,0.958478,0.261822
868,0.958525,0.261521
869,0.958573,0.262371
870,0.958621,0.262069
871,0.958668,0.261768
872,0.958716,0.261468
873,0.958763,0.261168
874,0.95881,0.262014
875,0.958857,0.261714
876,0.958904,0.261416
877,0.958951,0.262258
878,0.958998,0.263098
879,0.959044,0.262799
880,0.959091,0.2625
881,0.959137,0.263337
882,0.959184,0.264172
883,0.95923,0.263873
884,0.959276,0.264706
885,0.959322,0.265537
886,0.959368,0.265237
887,0.959414,0.266065
888,0.959459,0.266892
889,0.959505,0.267717
890,0.959551,0.268539
891,0.959596,0.268238
892,0.959641,0.267937
893,0.959686,0.267637
894,0.959732,0.267338
895,0.959777,0.268156
896,0.959821,0.267857
897,0.959866,0.267559
898,0.959911,0.267261
899,0.959956,0.268076
900,0.96,0.267778
901,0.960044,0.267481
902,0.95898,0.267184
903,0.959025,0.266888
904,0.959071,0.266593
905,0.959116,0.266298
906,0.959161,0.266004
907,0.959206,0.265711
908,0.959251,0.265419
909,0.959296,0.265127
910,0.959341,0.265934
911,0.959385,0.265642
912,0.95943,0.265351
913,0.959474,0.266156
914,0.959519,0.265864
915,0.959563,0.265574
916,0.959607,0.265284
917,0.959651,0.264995
918,0.959695,0.265795
919,0.958651,0.266594
920,0.958696,0.266304
921,0.95874,0.266015
922,0.958785,0.265727
923,0.95883,0.266522
924,0.958874,0.266234
925,0.958919,0.265946
926,0.958963,0.265659
927,0.959008,0.265372
928,0.959052,0.266164
929,0.959096,0.265877
930,0.95914,0.265591
931,0.959184,0.26638
932,0.959227,0.266094
933,0.959271,0.265809
934,0.959315,0.266595
935,0.959358,0.26631
936,0.959402,0.266026
937,0.959445,0.265742
938,0.959488,0.266525
939,0.959531,0.266241
940,0.959574,0.265957
941,0.959617,0.265675
942,0.95966,0.266454
943,0.959703,0.266172
944,0.959746,0.26589
945,0.959788,0.265608
946,0.959831,0.265328
947,0.959873,0.265048
948,0.959916,0.264768
949,0.959958,0.265543
950,0.96,0.265263
951,0.960042,0.264984
952,0.960084,0.264706
953,0.960126,0.264428
954,0.960168,0.264151
955,0.960209,0.264921
956,0.959205,0.264644
957,0.959248,0.264368
958,0.95929,0.264092
959,0.959333,0.263816
960,0.959375,0.264583
961,0.959417,0.265349
962,0.959459,0.265073
963,0.959502,0.264798
964,0.959544,0.264523
965,0.959585,0.264249
966,0.959627,0.263975
967,0.959669,0.263702
968,0.959711,0.26343
969,0.959752,0.263158
970,0.959794,0.263918
971,0.959835,0.263646
972,0.959877,0.264403
973,0.959918,0.265159
974,0.959959,0.264887
975,0.96,0.265641
976,0.960041,0.266393
977,0.960082,0.266121
978,0.960123,0.265849
979,0.960163,0.265577
980,0.960204,0.266327
981,0.960245,0.267074
982,0.960285,0.266802
983,0.960326,0.266531
984,0.960366,0.267276
985,0.959391,0.267005
986,0.959432,0.266734
987,0.959473,0.267477
988,0.959514,0.268219
989,0.959555,0.267947
990,0.959596,0.268687
991,0.959637,0.268416
992,0.959677,0.268145
993,0.959718,0.268882
994,0.959759,0.269618
995,0.959799,0.269347
996,0.958835,0.27008
997,0.958877,0.269809
998,0.958918,0.269539
999,0.958959,0.269269
1000,0.959,0.269
1001,0.959041,0.26973
1002,0.959082,0.269461
1003,0.959123,0.269192
1004,0.958167,0.26992
1005,0.958209,0.269652
1006,0.95825,0.269384
1007,0.958292,0.269116
1008,0.958333,0.268849
1009,0.958375,0.268583
1010,0.958416,0.268317
1011,0.958457,0.268051
1012,0.958498,0.267787
1013,0.958539,0.268509
1014,0.95858,0.268245
1015,0.958621,0.268966
1016,0.958661,0.269685
1017,0.958702,0.270403
1018,0.958743,0.27112
1019,0.958783,0.270854
1020,0.958824,0.270588
1021,0.958864,0.271303
1022,0.958904,0.272016
1023,0.958944,0.27175
1024,0.958984,0.271484
1025,0.959024,0.272195
1026,0.959064,0.27193
1027,0.959104,0.272639
1028,0.959144,0.273346
1029,0.959184,0.273081
1030,0.959223,0.273786
1031,0.959263,0.273521
1032,0.959302,0.274225
1033,0.959342,0.273959
1034,0.959381,0.273694
1035,0.95942,0.27343
1036,0.959459,0.274131
1037,0.959499,0.273867
1038,0.959538,0.273603
1039,0.959577,0.27334
1040,0.959615,0.273077
1041,0.959654,0.272815
1042,0.959693,0.272553
1043,0.959732,0.272291
1044,0.95977,0.272031
1045,0.959809,0.27177
1046,0.959847,0.271511
1047,0.959885,0.271251
1048,0.959924,0.270992
1049,0.959962,0.270734
1050,0.959048,0.270476
1051,0.959087,0.270219
1052,0.959125,0.270913
1053,0.959164,0.270655
1054,0.959203,0.270398
1055,0.959242,0.270142
1056,0.95928,0.269886
1057,0.959319,0.270577
1058,0.959357,0.270321
1059,0.959396,0.270066
1060,0.959434,0.270755
1061,0.959472,0.2705
1062,0.95951,0.270245
1063,0.959548,0.269991
1064,0.959586,0.269737
1065,0.959624,0.269484
1066,0.959662,0.269231
1067,0.9597,0.268978
1068,0.959738,0.268727
1069,0.959775,0.268475
1070,0.959813,0.268224
1071,0.959851,0.267974
1072,0.959888,0.267724
1073,0.959925,0.267474
1074,0.959963,0.267225
1075,0.96,0.267907
1076,0.960037,0.268587
1077,0.960074,0.268338
1078,0.960111,0.269017
1079,0.960148,0.268767
1080,0.960185,0.268519
1081,0.960222,0.269195
1082,0.960259,0.268946
1083,0.960295,0.268698
1084,0.960332,0.269373
1085,0.960369,0.270046
1086,0.960405,0.269797
1087,0.960442,0.269549
1088,0.959559,0.269301
1089,0.959596,0.269054
1090,0.959633,0.268807
1091,0.95967,0.268561
1092,0.959707,0.268315
1093,0.959744,0.26807
1094,0.959781,0.267824
1095,0.959817,0.26758
1096,0.959854,0.267336
1097,0.959891,0.267092
1098,0.959927,0.266849
1099,0.959964,0.267516
1100,0.96,0.267273
1101,0.960036,0.26703
1102,0.960073,0.266788
1103,0.960109,0.266546
1104,0.960145,0.26721
1105,0.960181,0.266968
1106,0.960217,0.266727
1107,0.960253,0.266486
1108,0.960289,0.266245
1109,0.960325,0.266907
1110,0.96036,0.266667
1111,0.960396,0.267327
1112,0.960432,0.267086
1113,0.960467,0.266846
1114,0.960503,0.266607
1115,0.960538,0.266368
1116,0.960573,0.266129
1117,0.960609,0.265891
1118,0.960644,0.265653
1119,0.960679,0.265416
1120,0.960714,0.265179
1121,0.960749,0.265834
1122,0.960784,0.265597
1123,0.960819,0.265361
1124,0.960854,0.265125
1125,0.960889,0.264889
1126,0.960924,0.265542
1127,0.960958,0.265306
1128,0.960993,0.265071
1129,0.961027,0.264836
1130,0.961062,0.264602
1131,0.961096,0.264368
1132,0.961131,0.265018
1133,0.961165,0.264784
1134,0.961199,0.26455
1135,0.961233,0.264317
1136,0.961268,0.264085
1137,0.961302,0.263852
1138,0.961336,0.26362
1139,0.96137,0.264267
1140,0.961404,0.264035
1141,0.961437,0.263804
1142,0.961471,0.264448
1143,0.961505,0.264217
1144,0.960664,0.263986
1145,0.960699,0.263755
1146,0.960733,0.263525
1147,0.960767,0.263296
1148,0.960801,0.263066
1149,0.960836,0.263708
1150,0.96087,0.263478
1151,0.960904,0.263249
1152,0.960938,0.263021
1153,0.960971,0.26366
1154,0.961005,0.263432
1155,0.961039,0.263203
1156,0.961073,0.263841
1157,0.961106,0.263613
